snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,elena rybakina,2026-04-27T21:10:00Z,2026-04-27T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,adelaide weather,2026-04-27T20:50:00Z,2026-04-27T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,shirley maclaine malibu lunch,2026-04-27T20:50:00Z,2026-04-27T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,prince harry,2026-04-27T20:50:00Z,2026-04-27T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,espanyol vs levante,2026-04-27T20:50:00Z,2026-04-27T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,f1,2026-04-27T20:50:00Z,2026-04-27T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,lazio vs udinese,2026-04-27T20:40:00Z,2026-04-27T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,nap,2026-04-27T20:40:00Z,2026-04-27T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,salary cap,2026-04-27T20:40:00Z,2026-04-27T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-27,2026-04-27T21:34:28Z,google_trends,google,capital gains tax changes australia,2026-04-27T20:30:00Z,2026-04-27T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
